,method,fct_mean,fct_std,location,forecast_date,target_end_date,target,FIPS,cases,q_0.025,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.975,wis
1364237,AR_spatial,1536.0232938206161,180.0041997202533,36,2021-05-03,2021-05-08,1-step_ahead,36055,1418.0,1183.2215453029648,1305.3386298645225,1414.612306117057,1536.0232938206161,1657.434281524175,1766.7079577767097,1888.825042338268,52.42690313691111
1364238,AR_spatial,1568.4102785341947,171.84093071182542,36,2021-04-26,2021-05-08,2-step_ahead,36055,1418.0,1231.608243269174,1348.1872647558134,1452.5053321049136,1568.4102785341947,1684.3152249634759,1788.6332923125753,1905.2123137992153,65.29932831587963
1364239,AR_spatial,1814.411805625279,228.69004910767052,36,2021-04-19,2021-05-08,3-step_ahead,36055,1418.0,1366.1875457515484,1521.3337151668725,1660.1627115303165,1814.411805625279,1968.6608997202413,2107.4898960836854,2262.636065499009,200.5296307550507
1364240,AR_spatial,1711.6092135673218,212.1426345185721,36,2021-04-12,2021-05-08,4-step_ahead,36055,1418.0,1295.8172903254767,1439.7374881812893,1568.5211810049516,1711.6092135673218,1854.6972461296923,1983.4809389533536,2127.401136809167,133.0774952829673
1364241,AR,1564.9102754085775,194.2171161371205,36,2021-05-03,2021-05-08,1-step_ahead,36055,1418.0,1184.2517225985885,1316.0110261674934,1433.9128212614478,1564.9102754085775,1695.9077295557074,1813.8095246496616,1945.5688282185665,63.90841815086221
1364242,AR,1726.0776972507224,120.3318108517948,36,2021-04-26,2021-05-08,2-step_ahead,36055,1418.0,1490.2316817867184,1571.8662766687885,1644.9151242086532,1726.0776972507224,1807.240270292792,1880.2891178326568,1961.923712714727,197.21937220004085
1364243,AR,1856.509975829084,213.85432036894244,36,2021-04-19,2021-05-08,3-step_ahead,36055,1418.0,1437.3632099676665,1582.4446367617893,1712.2674287050836,1856.509975829084,2000.7525229530847,2130.5753148963786,2275.656741690502,241.4919837193176
1364244,AR,1646.3355480040948,125.94729317019186,36,2021-04-12,2021-05-08,4-step_ahead,36055,1418.0,1399.4833894402109,1484.9275972657306,1561.3853896958594,1646.3355480040948,1731.28570631233,1807.743498742459,1893.1877065679785,117.59429662674916
1364245,ARIMA,1477.9041905764866,417.533518008058,36,2021-04-26,2021-05-08,2-step_ahead,36055,1418.0,659.5535329423868,942.8134569059152,1196.2821123167405,1477.9041905764866,1759.5262688362327,2012.9949242470584,2296.2548482105867,91.05680400969592
1364246,ARIMA,1895.4402998668631,889.9514206637004,36,2021-04-12,2021-05-08,4-step_ahead,36055,1418.0,151.16756737575497,754.9216634566568,1295.177188456756,1895.4402998668631,2495.703411276971,3035.958936277069,3639.7130323579713,244.0483055843092
1364247,ARIMA,1588.4432317541489,179.61956438838772,36,2021-05-03,2021-05-08,1-step_ahead,36055,1418.0,1236.3953546341354,1358.2514978097715,1467.2916766394962,1588.4432317541489,1709.5947868688015,1818.6349656985267,1940.491108874162,73.92280306250663
1364248,ARIMA,1698.233000351276,662.4947578493666,36,2021-04-19,2021-05-08,3-step_ahead,36055,1418.0,399.76713501993316,849.2118062643292,1251.387076623243,1698.233000351276,2145.0789240793088,2547.254194438223,2996.698865682619,170.93342689246026
1364249,PatchSim_adpt,1231.0,239.79591836734696,36,2021-05-03,2021-05-08,1-step_ahead,36055,1418.0,761.0086363602933,923.6891654051213,1069.260110922368,1231.0,1392.7398890776321,1538.3108345948785,1700.9913636397068,81.31194016061283
